"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"KCNAB1",-2.15443595584274,5.59776335219838,33.6701317851984,6.5295602335679e-09,2.122332233159e-06
"TCAP",-2.42113377767819,0.52929609887486,33.512379984177,7.08118316494321e-09,2.22490775042516e-06
"AMTN",2.08920270901496,-2.29911730944257,33.4195545575307,7.42734109391320e-09,2.29541367708937e-06
"CA4",-2.8425289726169,3.51739391936235,33.1253141471954,8.64064324851617e-09,2.54520947689104e-06
"SERPINB5",2.46443277331946,-0.00993276179625316,32.8728709673898,9.83867224067864e-09,2.85351767817344e-06
"CXorf49B",1.63866357412702,-3.06341314230375,32.7228520431036,1.06280347842738e-08,3.03575320838075e-06
"GLDC",-3.47438176184437,2.66594809410664,32.4659938836118,1.2129655832771e-08,3.41295927999104e-06
"SLC47A2",-3.1904451832745,1.14988322802394,32.003274681342,1.53912906592709e-08,4.20516828273298e-06
"MYH7",-6.59597596972386,1.72428236715822,31.8851715754256,1.63561023069756e-08,4.40493200987293e-06
"UCN2",1.86206528770939,-2.36507892957842,31.5085665122868,1.98562324892916e-08,5.2722492237764e-06
"APOA1",-3.27999933352711,2.24666337520063,31.3931224595965,2.10726024193434e-08,5.51750973346474e-06
"C3orf51",1.75714461548224,-3.24804466473961,31.2554617192013,2.26210175073667e-08,5.8418003020394e-06
"FAM19A2",-2.28518333106065,3.14276809270275,31.2060736614663,2.32038951821889e-08,5.8603922598463e-06
"AGXT2L1",-3.92834697404611,0.069104497646592,31.0216670738985,2.55163995652965e-08,6.16711749493551e-06
"CACNA2D2",-1.5306330225281,3.98372813898634,30.9953197408723,2.58651389179233e-08,6.17227340355304e-06
"MSI1",-2.30139826640795,1.3587567619835,30.9607665595679,2.6329740068734e-08,6.20460324719717e-06
"FHL1",-1.5112016595287,7.872155985922,30.6840719024227,3.03647446942702e-08,6.89682128887207e-06
"LGI3",-1.78328360139959,4.46514990264241,30.5644940119049,3.22950168892294e-08,7.24792450471134e-06
"MT1G",-3.37765485613771,8.27409713253791,30.3468745947225,3.6128863137984e-08,8.01295679855616e-06
"PYGM",-2.33116887115743,2.8868074018484,30.2614974545261,3.77546560751124e-08,8.17217033737853e-06
"UPF0639",-2.76185701248415,-0.114264113996526,29.968225105342,4.39184463833932e-08,8.99946251325791e-06
"KIF5C",-1.72703329567517,2.80340379333364,29.901538379558,4.54552035184217e-08,9.21420964225038e-06
"RPH3A",-2.77440365624501,-1.01187486057389,29.6377520721011,5.20806646391673e-08,1.0349985528442e-05
"SRRM4",-3.36658586148191,-0.611402616054127,29.6200163182913,5.25593753423896e-08,1.0349985528442e-05
"ATRNL1",-2.36521342550123,0.960051060415737,29.5093002774902,5.56490275579815e-08,1.08154171909595e-05
"UNC5D",-2.79845209723976,0.318549259045378,29.2612810739652,6.32469303300808e-08,1.18052587186404e-05
"LECT1",-3.98049738063793,3.0060343701046,29.2127571362097,6.48508142840851e-08,1.19859563812115e-05
"SLC26A4-AS1",-2.40296157611193,8.40652043883071,29.1599525275548,6.66425298336497e-08,1.20802401194612e-05
"TPTE2P1",-2.38923588423793,1.51270824193962,28.9705338141345,7.34876748386239e-08,1.29475667855863e-05
"DIRAS2",-1.76600860006661,1.17509378951109,28.9275238322821,7.51376202100649e-08,1.31156890388902e-05
"UGT3A2",-3.25103728206372,-0.172807695699133,28.879900396538,7.70078873620387e-08,1.33188320417354e-05
"GDF6",-4.36682505933949,3.21608409781986,28.5023223309499,9.358616876939e-08,1.54761969617591e-05
"DHRS2",-3.58857017947433,2.16076868460703,28.2735914993709,1.05323122503835e-07,1.66853067684226e-05
"ATP2A1",-2.21776229862044,-0.0183528476617377,28.2560404827291,1.06282443503887e-07,1.66969718744606e-05
"ENO3",-1.83874041496595,3.68900948278395,28.239169458912,1.07212849690458e-07,1.67039391930951e-05
"SOX3",-5.09909291105224,0.616640510891008,27.961352484316,1.23762728039627e-07,1.85632200997867e-05
"MMEL1",-3.89496016850715,0.00766886081534114,27.9565558132347,1.2406989882098e-07,1.85632200997867e-05
"BEX1",-1.86258292344301,3.43162935474027,27.9172244824831,1.26617600576247e-07,1.87952362682158e-05
"CYP26A1",1.66263558416256,-0.958186581150876,27.884704512968,1.28763642848874e-07,1.8817458875868e-05
"CSMD3",1.83497966349219,-2.68672069706618,27.8680798731761,1.29874769896199e-07,1.88338397083318e-05
"GPX2",-4.5355391829881,0.405023228060434,27.822357707844,1.32980468288816e-07,1.88492314900808e-05
"KCNK16",-3.91634156523185,0.221789869152735,27.761757699444,1.37211746887621e-07,1.92412265858731e-05
"CLCNKA",-2.29969636876336,2.86830092136682,27.7346511594742,1.39147831136597e-07,1.92412265858731e-05
"C18orf16",-2.09887871907868,-0.605494893408552,27.7045979210085,1.41326403946687e-07,1.92412265858731e-05
"C12orf39",-2.2204878356054,0.180385186833597,27.5849568348831,1.50343494308987e-07,1.99089069746887e-05
"NPR3",-2.0472877373956,2.17988384716421,27.5628317095086,1.52073127750646e-07,1.99089069746887e-05
"ACTN2",-3.7973452117106,0.331885692245099,27.3295400039962,1.71570223935136e-07,2.18543369028728e-05
"CSAG1",-4.7795737293044,-0.0752017187061494,27.2867150797846,1.75412469288231e-07,2.21745546528297e-05
"GPR158",-2.02173169022289,-0.00269960673220146,27.2754587289284,1.76436621998963e-07,2.21745546528297e-05
"GCK",-2.10630800876979,-0.346181200644047,27.2365195585293,1.80025926760644e-07,2.24601383513698e-05
"KRT17",1.92342163842208,5.37007368664688,27.2251068984012,1.81091715966911e-07,2.24601383513698e-05
"MRO",-2.30425610189388,2.21547860577219,26.9992451493507,2.03534930629743e-07,2.47887948284858e-05
"MYH3",-1.80100041408769,2.33169271230939,26.9966159847726,2.03811966816004e-07,2.47887948284858e-05
