"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"BEAN1",2.51782138188162,2.92709058969287,130.527680106771,3.14121287411903e-30,1.74171015008506e-27
"CYP2S1",2.95330553649396,4.1790654761064,129.930357666949,4.24409934508614e-30,2.28599316724469e-27
"RUNX1",2.00610893713419,5.89350942623293,129.410473599099,5.51486134829136e-30,2.82473773495365e-27
"CTHRC1",3.38362467973041,4.06227784529292,129.400017367909,5.54398982565696e-30,2.82473773495365e-27
"SFN",3.65552266081868,4.9710888105798,128.484928627218,8.79122645391139e-30,4.36137371339836e-27
"SEMA3C",3.00433972019453,2.85682101910524,128.284962614914,9.72309834030607e-30,4.69999615157564e-27
"LOX",2.96008974026452,4.59199665676451,127.972294697244,1.13820787286544e-29,5.36437370481483e-27
"PNP",2.63264582141701,6.73281970722322,127.705462730429,1.30199651986275e-29,5.98664351035427e-27
"CCL22",3.54517822004639,2.41253063271905,127.585476143051,1.38313833464777e-29,6.20831521066185e-27
"VTCN1",5.30453148897468,2.8661264285779,126.525755660433,2.3591996654819e-29,1.03431702543406e-26
"LDLR",2.41463615088199,5.04270362159292,126.300468538055,2.64281200190271e-29,1.13232481499704e-26
"AMOT",1.65346822342078,5.72944399404128,125.421188373783,4.11617050118539e-29,1.72440102862993e-26
"CD1E",3.80020237123917,1.75960832308366,125.307562640915,4.35873698112394e-29,1.78632412104671e-26
"PROS1",2.26209947834598,8.35547804233857,125.204301395141,4.5915553489214e-29,1.84170215825247e-26
"TM4SF1",2.45422853401531,7.81668703649801,124.790820305698,5.65527004593192e-29,2.22110731053976e-26
"STAC",3.00712854138234,2.70848972380615,124.646876303059,6.08074994013762e-29,2.33947546676478e-26
"GPR153",2.04681737654728,2.83182201209372,124.03195070317,8.28979586991916e-29,3.12558463479432e-26
"TUBB3",2.58068765040786,5.0017334916551,123.787510774964,9.37659188606176e-29,3.4660296124713e-26
"KRT6B",7.96870316879136,1.38864642127374,122.726101495124,1.6009135322954e-28,5.8039272905448e-26
"FLJ42709",2.45566479856562,3.86675385293943,122.656338964458,1.65820473870519e-28,5.89820296869251e-26
"ADAMTS14",3.42075541025741,2.48244583426801,122.06767222759,2.23097015524968e-28,7.78856469754945e-26
"S100B",3.89911160069644,3.16229656422199,121.757658625395,2.6082897707402e-28,8.88977154658626e-26
"CEACAM6",4.74205159748333,4.02697646116221,121.45227286973,3.04232924608049e-28,1.00621036749315e-25
"TNFSF18",3.5991045910462,-1.31408875655954,121.320764097664,3.25083186975054e-28,1.03872343065317e-25
"FOXP3",2.74485787906655,1.28582930645438,121.217868128739,3.42388690988015e-28,1.07578526708434e-25
"CD1B",4.33525900788135,-0.393671407451373,121.043683559044,3.73809565571881e-28,1.15525539838707e-25
"ERBB3",2.05413323517262,6.33781619899339,120.658883372083,4.53825744060582e-28,1.37992305274679e-25
"DHRS9",3.25845183943638,1.6864626083708,120.622002588195,4.62341646233074e-28,1.3835023356803e-25
"CD55",2.5397778746446,8.4474091202861,120.427532272344,5.09960448656928e-28,1.50215224657506e-25
