"Hugo_Symbol","logFC","logCPM","LR","PValue","FDR"
"BCAN",5.81837224356,1.05762910787145,592.807608270191,6.14068873593845e-131,1.15764264049912e-126
"ATP1A3",5.1469035009423,1.6961699612335,470.82929280523,2.11499271671602e-104,1.99359213477652e-100
"INHBE",3.57014389135717,-1.23053637109837,350.428447262333,3.41852929222141e-78,2.14820380723193e-74
"AKR7A3",2.52180295139268,0.073650402206122,301.76158303869,1.36139904062962e-67,6.41627367848738e-64
"TRIM50",3.8824960077126,0.259471266880654,266.605336344751,6.23416730518768e-60,2.35053044074796e-56
"CALN1",4.30769807192203,-0.349261162999291,249.162801841608,3.95328047929288e-56,1.24212072659382e-52
"HCN2",3.30662408814264,0.62519103591744,225.227169185767,6.55034228321623e-51,1.5435881590399e-47
"KCNJ1",3.38757070553579,1.61148211581834,222.886430828202,2.12225532516518e-50,4.44541748777932e-47
"MT3",3.3846102934967,0.656672595863158,220.20813642439,8.14673942003367e-50,1.53582331546475e-46
"PVALB",4.45275353736125,2.41068135035463,203.948810604142,2.87179885761627e-46,4.57651129848387e-43
"LDLR",-2.18039420915893,5.04270362159292,194.0324706147,4.18964359792508e-44,6.0756277775449e-41
"CA14",1.6121236326858,0.591339582492935,186.421351676615,1.92092704048896e-42,2.41422110448653e-39
"DAND5",2.1145897923106,-1.37608127632734,183.973449830959,6.57515597664601e-42,7.29146120421945e-39
"HOXA11",2.79767807555726,-1.70527496882524,183.555332230542,8.11312150135304e-42,8.04992455492145e-39
"NEFL",3.29659633965434,0.628289505187593,180.226212678795,4.32542792848599e-41,4.0771483653909e-38
"SLC43A1",1.53095869054638,3.52397666831186,179.401284494298,6.54855348652506e-41,5.61151501490775e-38
"SEZ6L",3.02803917567618,-1.14644471629826,178.407217498882,1.07943804879401e-40,8.8476374329846e-38
"NXPH4",2.59703996088548,1.05125883580299,175.192580686502,5.43440670801686e-40,3.94036289459746e-37
"TMEM38A",1.61615984006203,1.30825744921717,168.915098774904,1.27680353490157e-38,8.59653579998729e-36
"SMIM32",3.05328734642548,-0.681847316030188,168.387382846537,1.66489852221021e-38,1.04622223135689e-35
"KCNQ3",-2.32324222517907,2.52009406468833,168.090839760065,1.93267847801342e-38,1.17531789250029e-35
"CCDC151",1.66918780968791,1.89823353361726,166.498544471654,4.30491856653756e-38,2.31875213761046e-35
"LIN7A",1.72221907094738,0.272754080925947,165.31931607076,7.79034132539223e-38,4.07954207406373e-35
"S100A10",-1.87226313205019,7.2353608241901,163.861756489125,1.62166759039472e-37,7.83889164464646e-35
"ERBB3",-1.66898689872018,6.33781619899339,163.270273412949,2.18361806048805e-37,1.02913919190802e-34
"AHNAK2",-2.41328355472683,6.85563426936903,162.356079777746,3.45856583876004e-37,1.51629960912336e-34
"HES2",-2.55027051729217,1.06890249629813,161.48846852923,5.35112393712553e-37,2.24176418805979e-34
"CD55",-2.13679830588673,8.4474091202861,161.073311919815,6.5939759643815e-37,2.70238336696783e-34
"IL1RL1",-4.37195580900481,5.04459649226825,159.780151872633,1.26381266812353e-36,4.96362425405518e-34
"RNF157",1.80308630118343,2.49427312083479,158.765131976052,2.10600049607776e-36,8.10251456164449e-34
"TUBB3",-2.1239119668188,5.0017334916551,158.617695827688,2.26815694336151e-36,8.55185893925022e-34
"TSPAN33",1.61366925237928,4.61341668314908,158.287299472813,2.67833563544956e-36,9.76780962513094e-34
"ACTBL2",-2.92595470004229,0.451176740859708,158.275500516622,2.69428230695315e-36,9.76780962513094e-34
"UNC5CL",-1.8454336285724,3.00623374886688,157.409320598401,4.16589828787414e-36,1.42791844587279e-33
"RUNX1",-1.52716839599297,5.89350942623293,157.163034034405,4.71546947615771e-36,1.55957948358816e-33
"ELF3",-1.89610338109851,6.10279019708978,157.016517282674,5.07622283306588e-36,1.64994746291307e-33
"HHATL",2.10561440955838,6.35322791868885,153.928114291678,2.40125770786914e-35,6.94853314061047e-33
"SLC6A17",2.43010726700018,0.620341208961243,151.47503322552,8.25206689312234e-35,2.16066618151587e-32
"ICAM1",-1.53216318218396,7.44861037334893,151.141130779237,9.76206724806718e-35,2.5210204350762e-32
"BEAN1",-1.93926275027522,2.92709058969287,150.57183507218,1.30008494245048e-34,3.22489491251007e-32
"SFTPB",-3.96112484497715,10.2079556735177,149.819530995333,1.89848038594637e-34,4.47376902948261e-32
"CYP2S1",-2.34091008155665,4.1790654761064,149.098115945368,2.72956827990822e-34,6.35281743368269e-32
"C15orf59",1.74266918776502,0.101740709824385,147.697493809231,5.52405475371684e-34,1.23975571686988e-31
"GPR110",-1.53725185664312,5.20744600284368,145.940132289648,1.33791682807697e-33,2.80248978254522e-31
"ALDH1L1",2.52537450244287,2.58945233095309,145.656885922169,1.54294889954999e-33,3.16170354938222e-31
"KLK4",3.15681529259648,2.60420365694125,145.576429367746,1.60672239369076e-33,3.25698178127507e-31
"HOXA11AS",2.84509488382644,-2.31342389385703,145.167788525087,1.97368734520658e-33,3.95829296083344e-31
"PELI1",-1.56621112725358,5.47838126812456,144.38961656925,2.92016778410179e-33,5.7948424279881e-31
"ALOX5",-2.77351891935941,6.47066065865347,144.036757986123,3.48782158195767e-33,6.84920963156938e-31
"TM4SF1",-1.88125679095416,7.81668703649801,143.948913248379,3.64552597894585e-33,7.0513553709734e-31
"CKMT2",1.96229628943393,3.15869160736059,143.505442783053,4.55742551591322e-33,8.50659265603921e-31
"IGF2",2.99258526883576,7.58165486725094,142.651865047355,7.00405556661121e-33,1.2819461703083e-30
"MGC42105",1.91291390099522,-0.126868558827351,142.557160535101,7.34609702692675e-33,1.33162135722714e-30
"GPR153",-1.51245729859198,2.83182201209372,141.962647592805,9.90942937856324e-33,1.72974595041365e-30
"MUC1",-2.40749367976789,7.07558787110495,141.898257474763,1.02359452842141e-32,1.77034899539453e-30
"C1orf106",-2.84067007808319,3.18963092662651,140.640812177568,1.92790281550763e-32,3.08006982016525e-30
"CFTR",-3.99754076685896,-0.342064598926942,140.32583732365,2.25923404041407e-32,3.57908236385597e-30
"FN1",-2.78451648002674,13.9681818100261,140.029514492712,2.62276639588768e-32,4.08631339630367e-30
"PLAUR",-1.92463804833588,4.95162205796233,139.66371388555,3.15320607336547e-32,4.75553927160687e-30
"NCAN",1.94897012512743,-1.76078839053446,139.613538618662,3.23388611363544e-32,4.83850960430597e-30
"GAPDHS",2.01428893755938,-1.50484495697266,139.552955822909,3.33405723960615e-32,4.94910606937442e-30
"CCL13",-2.76006181497469,2.15850611572907,139.49390290558,3.43468460958369e-32,5.05864642655248e-30
"PROS1",-1.67295858511215,8.35547804233857,139.231179363344,3.92048903710769e-32,5.6419129257675e-30
"PTPRE",-1.59060857980331,6.18194120171068,138.877699692437,4.68426768118231e-32,6.63968528764278e-30
"DEFB1",2.84344675954048,1.41351906947389,137.505618520359,9.34783954716572e-32,1.28631730761437e-29
"LRRC39",1.96942001231915,-0.149413805868086,137.360138762445,1.00583885765738e-31,1.37406334380848e-29
"HOXA9",2.26366742999818,-2.02872111212742,136.81012508621,1.32684848002881e-31,1.74921311507015e-29
"STAC",-2.31703771493942,2.70848972380615,135.58220285543,2.46258531283986e-31,3.11574888037966e-29
"BEND6",-2.18475803241874,1.40975144419357,134.718085763929,3.80540157578863e-31,4.71969937544521e-29
