selector,balanced_accuracy,f1_macro,precision_macro,recall_macro,roc_auc_ovr_weighted,n_selected
fdr,0.5763891346012089,0.5690923326821421,0.5736794738893211,0.5763891346012089,0.7980545761513111,3540
kbest,0.6072196422428621,0.5504774007910564,0.5343602435916532,0.6072196422428621,0.7463602208655404,100
mutual_info,0.6035152833063051,0.5381978064415925,0.52216436896373,0.6035152833063051,0.7194589395563933,100
deseq,0.5690138336036169,0.5375158038024738,0.523472620051952,0.5690138336036169,0.7277059194714989,100
