,precision,recall,f1-score,support
"Thyroid Papillary Carcinoma, Classical/Usual Type",0.8524590163934426,0.7323943661971831,0.7878787878787878,71.0
"Thyroid Papillary Carcinoma, Follicular (>= 99% Follicular Patterned)",0.5,0.7142857142857143,0.5882352941176471,21.0
"Thyroid Papillary Carcinoma, Tall Cell (>= 50% Tall Cell Features)",0.125,0.14285714285714285,0.13333333333333333,7.0
accuracy,0.6868686868686869,0.6868686868686869,0.6868686868686869,0.6868686868686869
macro avg,0.4924863387978142,0.5298457411133467,0.503149138443256,99.0
weighted avg,0.7262584865043881,0.6868686868686869,0.6992491762545239,99.0
